[H[2J[3JPosibles boot master
boot master: 73.89.221.25  Grados: 18
boot master: 185.109.34.183  Grados: 18
#################
Arista mas larga: 
#################
955 - 720 : 72
1471 - 721 : 46
12905 - 722 : 83
1455 - 723 : 17
5708 - 724 : 16
13211 - 725 : 90
13136 - 726 : 78
2161 - 727 : 89
2441 - 728 : 79
1290 - 729 : 86
6996 - 730 : 38
10790 - 731 : 96
9645 - 732 : 11
5414 - 733 : 14
8663 - 734 : 76
12470 - 735 : 23
8907 - 736 : 83
3648 - 737 : 21
1025 - 738 : 15
6007 - 739 : 58
3679 - 740 : 27
234 - 741 : 23
3064 - 742 : 77
6027 - 743 : 49
7826 - 744 : 17
12010 - 745 : 145
1645 - 746 : 127
9201 - 747 : 99
3399 - 748 : 101
3299 - 749 : 35
1902 - 750 : 25
10691 - 751 : 58
2340 - 752 : 17
10644 - 753 : 28
9638 - 754 : 51
9950 - 755 : 95
77 - 756 : 101
1023 - 757 : 24
13026 - 758 : 45
9195 - 759 : 47
2850 - 760 : 26
5490 - 761 : 62
1293 - 762 : 56
5047 - 763 : 45
4449 - 764 : 51
1787 - 765 : 64
8340 - 766 : 66
8932 - 767 : 46
7553 - 768 : 78
3804 - 769 : 35
7264 - 770 : 231
7024 - 771 : 225
13294 - 772 : 132
6036 - 773 : 36
10997 - 774 : 13
1647 - 775 : 127
259 - 776 : 13
690 - 777 : 57
9837 - 778 : 25
8319 - 779 : 34
377 - 780 : 51
824 - 781 : 32
3097 - 782 : 44
3111 - 783 : 22
986 - 784 : 14
8500 - 785 : 15
3106 - 786 : 79
4716 - 787 : 47
2639 - 788 : 72
3847 - 789 : 16
6278 - 790 : 10
12438 - 791 : 57
8100 - 792 : 66
5911 - 793 : 89
10910 - 794 : 11
400 - 795 : 37
5485 - 796 : 99
6871 - 797 : 63
7069 - 798 : 216
6040 - 799 : 49
7547 - 800 : 34
1925 - 801 : 17
11304 - 802 : 57
9033 - 803 : 86
11832 - 804 : 22
8650 - 805 : 18
3768 - 806 : 63
6350 - 807 : 52
6558 - 808 : 62
2929 - 809 : 38
11010 - 810 : 46
4990 - 811 : 106
4870 - 812 : 78
1431 - 813 : 10
3788 - 814 : 30
11841 - 815 : 179
56 - 816 : 69
12181 - 817 : 50
724 - 818 : 83
1217 - 819 : 70
3319 - 820 : 57
4900 - 821 : 205
2727 - 822 : 84
7970 - 823 : 24
10514 - 824 : 62
10865 - 825 : 33
3072 - 826 : 16
3745 - 827 : 124
639 - 828 : 39
2273 - 829 : 27
6620 - 830 : 120
12288 - 831 : 48
7286 - 832 : 25
5144 - 833 : 95
9481 - 834 : 21
4386 - 835 : 29
5836 - 836 : 44
8046 - 837 : 28
13024 - 838 : 27
13335 - 839 : 54
9122 - 840 : 27
9141 - 841 : 25
372 - 842 : 98
2357 - 843 : 29
5911 - 844 : 99
1660 - 845 : 71
7189 - 846 : 38
9231 - 847 : 62
10315 - 848 : 60
1132 - 849 : 104
3528 - 850 : 10
8323 - 851 : 16
7550 - 852 : 34
9164 - 853 : 132
6456 - 854 : 12
6939 - 855 : 71
614 - 856 : 62
12982 - 857 : 43
3648 - 858 : 26
6972 - 859 : 28
12360 - 860 : 147
8470 - 861 : 53
5031 - 862 : 37
5591 - 863 : 26
4329 - 864 : 12
12448 - 865 : 62
4042 - 866 : 64
2577 - 867 : 26
2147 - 868 : 108
7232 - 869 : 39
6810 - 870 : 56
7920 - 871 : 43
5981 - 872 : 126
11923 - 873 : 29
8565 - 874 : 112
9620 - 875 : 71
11741 - 876 : 64
8208 - 877 : 41
9461 - 878 : 52
55 - 879 : 224
13119 - 880 : 10
10926 - 881 : 21
7409 - 882 : 25
1040 - 883 : 117
9120 - 884 : 23
2340 - 885 : 51
4871 - 886 : 109
6048 - 887 : 104
5434 - 888 : 167
4893 - 889 : 54
2933 - 890 : 104
7301 - 891 : 46
1794 - 892 : 14
232 - 893 : 67
1000 - 894 : 85
7961 - 895 : 95
265 - 896 : 43
126 - 897 : 48
13283 - 898 : 66
3944 - 899 : 61
5743 - 900 : 25
918 - 901 : 97
3493 - 902 : 89
8751 - 903 : 14
11440 - 904 : 30
4691 - 905 : 160
11708 - 906 : 21
11043 - 907 : 33
7168 - 908 : 42
11512 - 909 : 25
5624 - 910 : 23
1207 - 911 : 30
11224 - 912 : 11
524 - 913 : 81
3629 - 914 : 49
639 - 915 : 62
8717 - 916 : 43
11300 - 917 : 22
11746 - 918 : 46
2743 - 919 : 12
4363 - 920 : 10
4965 - 921 : 231
5461 - 922 : 41
2362 - 923 : 50
9257 - 924 : 57
10795 - 925 : 53
1992 - 926 : 21
325 - 927 : 38
12883 - 928 : 13
6668 - 929 : 14
7141 - 930 : 67
8959 - 931 : 87
5351 - 932 : 76
10931 - 933 : 93
4425 - 934 : 90
5108 - 935 : 66
8686 - 936 : 26
11422 - 937 : 14
1716 - 938 : 38
9915 - 939 : 100
3530 - 940 : 30
646 - 941 : 40
7242 - 942 : 58
3589 - 943 : 103
7480 - 944 : 80
5045 - 945 : 37
10905 - 946 : 33
5987 - 947 : 92
6921 - 948 : 20
5681 - 949 : 62
1603 - 950 : 76
3859 - 951 : 25
8295 - 952 : 153
2179 - 953 : 27
923 - 954 : 47
9842 - 955 : 29
8178 - 956 : 14
11334 - 957 : 77
8462 - 958 : 35
3481 - 959 : 123
10334 - 960 : 29
5872 - 961 : 215
3152 - 962 : 49
13025 - 963 : 38
10260 - 964 : 184
10781 - 965 : 51
5930 - 966 : 238
7462 - 967 : 19
7248 - 968 : 116
8590 - 969 : 58
12775 - 970 : 53
-1 - 971 : 2147483647
11225 - 972 : 57
8826 - 973 : 33
9897 - 974 : 71
5087 - 975 : 39
5402 - 976 : 12
12072 - 977 : 10
4929 - 978 : 34
2896 - 979 : 88
5262 - 980 : 20
8066 - 981 : 20
11074 - 982 : 33
8329 - 983 : 30
7184 - 984 : 45
4393 - 985 : 51
7522 - 986 : 41
9370 - 987 : 29
7481 - 988 : 86
854 - 989 : 49
7785 - 990 : 65
1440 - 991 : 38
11240 - 992 : 14
6439 - 993 : 66
4168 - 994 : 21
2542 - 995 : 46
8775 - 996 : 70
2013 - 997 : 74
3297 - 998 : 62
1963 - 999 : 72
12554 - 1000 : 69
6392 - 1001 : 54
10158 - 1002 : 31
7570 - 1003 : 59
5600 - 1004 : 10
5177 - 1005 : 25
2927 - 1006 : 43
8915 - 1007 : 24
9470 - 1008 : 60
391 - 1009 : 103
3115 - 1010 : 16
1232 - 1011 : 109
5051 - 1012 : 19
119 - 1013 : 36
9314 - 1014 : 43
1881 - 1015 : 53
802 - 1016 : 17
12815 - 1017 : 22
1839 - 1018 : 51
6045 - 1019 : 20
2073 - 1020 : 18
4071 - 1021 : 54
1773 - 1022 : 39
2459 - 1023 : 39
6355 - 1024 : 52
799 - 1025 : 51
2852 - 1026 : 29
1052 - 1027 : 33
1401 - 1028 : 84
2428 - 1029 : 81
5774 - 1030 : 34
6251 - 1031 : 50
9095 - 1032 : 210
12610 - 1033 : 17
1312 - 1034 : 16
8230 - 1035 : 68
6572 - 1036 : 56
9827 - 1037 : 36
3553 - 1038 : 63
120 - 1039 : 41
816 - 1040 : 21
2455 - 1041 : 45
11731 - 1042 : 62
948 - 1043 : 146
2082 - 1044 : 87
2246 - 1045 : 41
12428 - 1046 : 114
9840 - 1047 : 22
425 - 1048 : 24
12366 - 1049 : 19
5126 - 1050 : 63
510 - 1051 : 42
3921 - 1052 : 80
8068 - 1053 : 130
7069 - 1054 : 56
8666 - 1055 : 179
13260 - 1056 : 23
4078 - 1057 : 12
8067 - 1058 : 40
5178 - 1059 : 54
12961 - 1060 : 141
13003 - 1061 : 54
7126 - 1062 : 41
5407 - 1063 : 43
5608 - 1064 : 10
975 - 1065 : 103
6903 - 1066 : 16
12586 - 1067 : 61
10538 - 1068 : 37
6358 - 1069 : 145
7393 - 1070 : 225
779 - 1071 : 12
9227 - 1072 : 35
